226Ra,232Th,40K,Raeq,Theq,Keq,IG,IA,IB
-0.37184651860681384,-0.9071832139315916,-0.8265053028450984,-0.7947976324460067,-0.7945925850687492,-0.7926655201379071,-0.7972709901407566,-0.37184444994431387,-0.7739223289451685
-0.4267826949953859,-0.9085717753835878,-0.836076819136335,-0.8077036280061279,-0.8075130035914891,-0.805796328637299,-0.8098305358440463,-0.4267881450315556,-0.7886346354012177
-0.3549879140272729,-0.9064826206517275,-0.5968808757447777,-0.7743343227982167,-0.7737907569225807,-0.7721162708276998,-0.7730176102772968,-0.3549839128820692,-0.7489685745565544
-0.3189079974540704,-0.9203509436409179,-0.7046294531216843,-0.7856215330710162,-0.7852264100918815,-0.783208189934263,-0.7865011797001856,-0.3189116445984409,-0.7610814192414102
-0.33233418345890564,-0.9266591459959155,-0.6881222708611626,-0.7920938534089368,-0.7916703418792348,-0.7897110540991528,-0.7925701316060967,-0.332338200717733,-0.7676825420794615
-0.46703016170148637,-0.9148488587088693,-0.665571653733251,-0.8085211618248158,-0.808075662356334,-0.8067442860943589,-0.8073500255676466,-0.46703687662418025,-0.7877070266363935
-0.7455692275244546,-0.9650304841957842,-0.6678074880068658,-0.9044015117825095,-0.9039308857109851,-0.9035952728685926,-0.9007078201114211,-0.745576042568989,-0.892036047308047
-0.522742615359872,-0.9102872441035951,-0.6513749550319923,-0.8152189746891338,-0.814756972107272,-0.8136910893074774,-0.813279925360414,-0.5227385224600917,-0.7958074241059631
-0.28380242989402993,-0.9056069363086217,-0.7268693478462068,-0.7685649643239842,-0.7682120613194163,-0.7660633749081427,-0.7701423714216509,-0.28379841603761924,-0.743332812002826
-0.4111317015836109,-0.9256441560423235,-0.8245493404152021,-0.8170680792245245,-0.8168482356947787,-0.8150290057140704,-0.819151512976702,-0.411134141814132,-0.7973714156280504
-0.16924093548178387,-0.8970378949336244,-0.7835495344025809,-0.7427170548723425,-0.7424510667393338,-0.7397745051169997,-0.7463285756578062,-0.16923957431011027,-0.7150353516014734
-0.28512566669877615,-0.8857306365988703,-0.8353011887071634,-0.7610653044864104,-0.7608861232955517,-0.758654111378513,-0.7644816047510967,-0.28512869694344767,-0.7377132286717396
-0.42556201310343955,-0.9292620366875324,-0.6906851345024783,-0.8132056049051716,-0.8127861886953972,-0.8112022727417868,-0.8128582834689465,-0.42556614280410854,-0.7916223985158259
-0.8272970627955872,-0.9639986035084915,-0.5328495734939513,-0.9104567124752068,-0.9097896568608841,-0.9099849666723748,-0.9036862266639155,-0.8272955079816855,-0.8981841519121143
-0.24653122122289606,-0.9047380368873583,-0.7986884935020104,-0.7654931477594669,-0.7652459114909103,-0.7628449675082117,-0.7686531681454036,-0.24653508229179555,-0.7403935865561446
-0.8658562405186493,-0.9437811396063513,-0.6532947935893509,-0.9110980239393642,-0.9106234799831121,-0.9108744091467624,-0.9060231992751347,-0.8658581858680856,-0.9097091515076339
-0.8669113341237897,-0.9648809010032665,-0.5481805214873139,-0.9202756747606062,-0.919631528141687,-0.9199671692278686,-0.9133974468237805,-0.8669100358866477,-0.9171030562551571
-0.41585355869994545,-0.9418001141985367,-0.8183281411634281,-0.8302244217934163,-0.829984313955799,-0.8281425867280087,-0.8321685849877544,-0.4158519985150354,-0.8357161732902606
-0.2406521022964372,-0.866714075234477,0.58121927088187,-0.6353883792993035,-0.6331324916192558,-0.76140109258317,-0.614870502112695,-0.24065709689394887,-0.5860869471424796
-0.31000219379343996,-0.7959808356017731,0.44597480051720817,-0.603789148895,-0.6017833528885055,-0.719541622552845,-0.5849070145062752,-0.31000185620591525,-0.5587548470254499
-0.19716170384546494,-0.8105735134114572,0.658329816531873,-0.5770898402170991,-0.5747581784763229,-0.7099231046457404,-0.5556163597053889,-0.1971600049498825,-0.5250373470389326
-0.025280675433152267,-0.8382682474675708,0.5167408622346847,-0.5741152006041552,-0.5719691777185472,-0.7329822237869412,-0.5566928921942423,-0.025275337210741267,-0.5194555152273449
-0.5273292794237371,-0.8722328791300527,0.7863636529286175,-0.6830557661478425,-0.6805000977376113,-0.7654512936207436,-0.6563528873498461,-0.5273326320999877,-0.638755709917324
-0.5882744312233767,-0.84094207924073,0.41976764473577033,-0.6972513896511718,-0.69525942302579,-0.7705314025666561,-0.6762597672895603,-0.5882780596460835,-0.661061464866818
-0.4906693784681164,-0.8941622045785625,0.6510712693104226,-0.7025145378545246,-0.7001423293819857,-0.7904095844813923,-0.6784890866518942,-0.49067256527657477,-0.6595136525673728
