226Ra,IA,232Th,Raeq,Theq,Keq,IG,IB,40K
0.9999999999999997,1.0,0.4529584724987337,0.4529584724987337,0.4529584724987337,0.4529584724987337,0.4529584724987346,0.4529584724987346,-0.05045881936469965
-0.7613550641990299,-0.9459679440541339,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999
0.3436450201286154,-0.19759695756783102,-0.08284272611598209,-0.0089310847932557,-0.0089310847932557,0.06837225168386077,-0.0089310847932557,-9.409140133698202e-12,0.12966292060485052
0.07452580039115687,-0.4929152519820729,0.29149175260248983,0.17906190844290285,0.17906190844290285,0.21697834143207798,0.1722872971016688,0.14116734077001195,-0.13239731806025168
0.9571230949015943,0.8991843023821643,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,-0.08760729323352845
0.38339314430734517,-0.14529869302002194,-0.25483201809439887,-0.2008734340323983,-0.2008734340323983,-0.18606631148130026,-0.23476843530384486,-0.2008734340323983,-0.8845065046566123
0.7494312826200414,0.4560093349843226,-0.04504789124386139,0.10810253341780246,0.10291365131252297,0.20087343401358002,0.08776816574589255,0.10291365131252297,-0.6708835256012873
0.3263106848857974,-0.21965568499212568,-0.193326623802373,-0.21697834145089626,-0.21697834145089626,-0.2008734340323983,-0.25483201809439887,-0.22563207453374093,-0.8429594832731102
0.3662391559152224,-0.16815297900403028,-0.21697834145089626,-0.16571998000237378,-0.16571998000237378,-0.15313154015666483,-0.20874291981856133,-0.15934042278652874,-0.8164728754977045
0.34931942299995555,-0.19027602850613684,-0.12972609289598108,-0.13538682143390485,-0.14116734078883025,-0.12417557795800589,-0.18606631148130004,-0.14116734078883025,-0.8482076555369926
0.35401582180330626,-0.18417461465259707,-0.0927518567933869,-0.0977986235890211,-0.0977986235890211,-0.08776816576471083,-0.12417557795800589,-0.0977986235890211,-0.8265053028450984
0.30536615988407906,-0.24573511031271017,-0.0977986235890211,-0.12417557795800589,-0.12417557795800589,-0.10291365133134125,-0.16571998000237356,-0.12972609289598108,-0.836076819136335
0.3681817452732053,-0.16558619046113823,-0.08776816576471083,-0.054279250505474094,-0.05894090408014254,-0.04504789124386139,-0.06837225170267908,-0.05427925050547407,-0.5968808757447777
0.39741176000877004,-0.12627937210534154,-0.12417557795800589,-0.06837225170267908,-0.07314886478642131,-0.0589409040801433,-0.08776816576471083,-0.07797103295996935,-0.7046294531216843
0.38670150495542976,-0.14083712383065827,-0.14116734078883023,-0.08284272611598209,-0.09275185679338543,-0.06837225170267908,-0.10810253343662078,-0.08776816576471083,-0.6881222708611626
0.2670189988956594,-0.29182165594458687,-0.11337132635226116,-0.12972609289598108,-0.12972609289598108,-0.11872661317972644,-0.14116734078883025,-0.12417557795800589,-0.665571653733251
-0.10029158367812319,-0.6366636029594668,-0.4010810094419916,-0.3435352163454032,-0.3435352163454032,-0.3435352163454032,-0.3435352163454032,-0.3435352163454032,-0.6678074880068658
0.20949944622794725,-0.35705023792082774,-0.10291365133134125,-0.15934042278652874,-0.15934042278652874,-0.15934042278652874,-0.17906190846172113,-0.16571998000237378,-0.6513749550319923
0.42453818160129886,-0.0886072464053359,-0.0779710329599694,-0.04504789124386139,-0.04504789124386139,-0.02687078819364812,-0.06363744737005811,-0.04964927173242376,-0.7268693478462068
0.3196357675617315,-0.22803957641748435,-0.13538682143390485,-0.17228729712048715,-0.18606631148130026,-0.16571998000237378,-0.21697834145089626,-0.18606631148130026,-0.8245493404152021
0.5053360405434011,0.030463599249720197,-0.0589409040801433,-0.02237002467411014,-0.02687078819364812,0.03138631661970804,-0.03138631663852635,-0.02687078819364812,-0.7835495344025809
0.4235378050945191,-0.09002408359631003,-0.040472154568084985,-0.03138631663852635,-0.03591921435063098,0.004464338926731787,-0.04964927173242376,-0.03138631663852635,-0.8353011887071634
0.3064914814543591,-0.24434918339137027,-0.1470782886624741,-0.15313154015666483,-0.15313154015666483,-0.13538682143390485,-0.17228729712048735,-0.15313154015666483,-0.6906851345024783
