226Ra,232Th,40K,Raeq,Theq,Keq,IA,IB,IG
0.37668206870284515,-0.028922304775949703,-0.056106856531008775,0.33296651227664653,0.3010988078811023,0.5086777745926854,-0.5118383881474691,-0.5780967843312865,-0.5727471498985865
0.2881867584062121,-0.03159893355089061,0.24223837621194466,0.34086636087588884,0.30999697005417737,0.5141804605140745,-0.6124162417780541,-0.5641152370405569,-0.5525839541260147
0.4070336217850854,-0.04970243559243692,0.25213080885851413,0.3684566443882824,0.33870682754585935,0.535020633677304,-0.47240523901572384,-0.5253337533755575,-0.5192591989528319
0.3125720220057129,-0.08769341452000634,0.13063628347254252,0.32092595888437225,0.28903275883843516,0.499585411382758,-0.5867181977609794,-0.5889883218024659,-0.5801258516590683
0.31089985793780683,-0.05589038447393324,0.31876061159748303,0.34825810252170664,0.31785235474256845,0.5197481866799951,-0.5885258458657809,-0.5523351521568503,-0.5414558373493668
0.38301520940204137,-0.19272361075681466,0.04141340839888619,0.31069994358388464,0.2782092888139214,0.4924281062697684,-0.5038215064480106,-0.5994802580227891,-0.5958258499919065
0.3872619297179969,-0.025628138709910542,0.042099526861239855,0.34744113656877773,0.31638805065234266,0.5194053444223303,-0.4983938312909164,-0.5578771930797928,-0.5521326157126909
0.2573332029169282,-0.22594009535447845,0.09529096351839872,0.273925084748589,0.2401858234890708,0.4647341574680035,-0.6428759180670612,-0.6408846288710657,-0.6318960405903743
0.4811699759219952,-0.036242749003910446,-0.5385142199163924,0.3146265966348689,0.28081859842575696,0.49570847572811494,-0.36421356332435506,-0.6069032924969235,-0.6119582503810624
0.8897888220350159,0.47465615074467826,-0.004682466709987176,0.6820873569798016,0.6661953094390478,0.7671247811167239,0.6101238728102227,0.07542273226008156,0.049619379448810896
0.8633375946649604,0.5709727818869641,0.09659115422591125,0.7188069711478429,0.7047545022367478,0.7937688380325971,0.5249463057718198,0.16487600054563356,0.14574635988117546
1.0,0.7125866523248932,-0.05045881936469965,0.8267546895851179,0.8179997177006146,0.8733287508426544,1.0,0.4756721778052073,0.44026110036323085
-0.3806738972006114,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9452899808741774,-1.0,-0.9999999999999999
0.5794522881138342,0.07374249836425828,0.12966292060485052,0.4435348810860644,0.4166982243195254,0.5909783324385625,-0.19205084523064275,-0.41509866385044414,-0.41862651899973535
0.39499726519577627,0.5002716255767385,-0.13239731806025168,0.572368682297743,0.5509853347789015,0.6845960124213175,-0.4883545316812029,-0.22833039417496437,-0.18890345411503917
0.9732309423351544,1.0,-0.08760729323352845,0.9999999999999998,1.0000000000000002,0.9999999999999998,0.9001348881893454,1.0,1.0000000000000004
0.6058566399762595,-0.06605100227287053,-0.8845065046566123,0.33050792444171706,0.2966064809725326,0.5083105217865314,-0.13969123121418558,-0.5895047932184032,-0.6076087334721371
0.8425178697139384,0.1304416196655247,-0.6708835256012873,0.5261797041189027,0.5021139211105803,0.6531757474096649,0.4601816713550133,-0.2709003723445581,-0.3054051753793886
0.567880971544996,-0.04011739370087242,-0.8429594832731102,0.32051967180375573,0.28623501745011604,0.5006489863700316,-0.21414526253394783,-0.6029491526970487,-0.6171836235226855
0.5944828360882211,-0.051567349337402035,-0.8164728754977045,0.335026115343797,0.30149499571460714,0.5115169147507914,-0.16256833023002093,-0.5833487752402802,-0.5994691467989197
0.5832325700760179,0.011344209286809015,-0.8482076555369926,0.3426320066563313,0.3093729524201809,0.516938136402981,-0.18471936639983655,-0.5764314354147204,-0.5905858919740976
0.5863585263258364,0.07142396928093442,-0.8265053028450984,0.3652294970534624,0.3330822517463232,0.5334745242004122,-0.17860965078356927,-0.5480804797948685,-0.5605591829357583
0.5538516717231758,0.06696052086739379,-0.836076819136335,0.3472076015558052,0.31417603174947994,0.520012990322098,-0.24027450238262826,-0.5731349906590513,-0.5835056741570173
0.5957724616586069,0.07365145844959575,-0.5968808757447777,0.3916177938472174,0.36117908900387596,0.5529194818495937,-0.15999867166432202,-0.5066664079510372,-0.517473856529532
0.615128233755301,0.026217505026783883,-0.7046294531216843,0.37737132175823773,0.34606597810840944,0.5426522353315064,-0.12065760753671517,-0.5266033996217209,-0.5412322675980296
0.6080465802959782,0.0019346833297901878,-0.6881222708611626,0.36886225092830993,0.3371949867762327,0.5363858221150926,-0.13522592649838516,-0.5375994785030414,-0.5520842682769336
0.528021938405953,0.04592684386324031,-0.665571653733251,0.3460259147335376,0.313324449993607,0.519006222697272,-0.2864695371302989,-0.571540862270937,-0.5789381932670924
0.26758544592545475,-0.21186371566625106,-0.6678074880068658,0.1540604280145459,0.11303199368721839,0.3759568298174176,-0.6330040862429919,-0.7644450629169722,-0.7643620607243742
0.48890040938465273,0.0613545935565889,-0.6513749550319923,0.33615191950879364,0.3030193318198351,0.5114742664603078,-0.35189722016903213,-0.5855286016872439,-0.5898867693014982
0.6330117133781008,0.07641298007873476,-0.7268693478462068,0.39862873032801094,0.36827931686620996,0.5583136474280137,-0.08296956678430878,-0.497494222360642,-0.5124689823258521
0.5634157040455741,0.0059745185698028,-0.8245493404152021,0.33336338880006644,0.29971822464752496,0.5099914638818344,-0.22254426377762482,-0.5882468424239842,-0.6008288445477754
0.6858652398740483,0.10219432064258571,-0.7835495344025809,0.42804559780111084,0.3990119576739506,0.580228392521219,0.03604575741088478,-0.45240032032561417,-0.4718140942418516
0.6323535078365603,0.13318941384088,-0.8353011887071634,0.4074872186281546,0.37735049871472226,0.5647297910960232,-0.08438670627204148,-0.4884128043653374,-0.5026770835211083
0.5546068181026735,-0.008676384051433561,-0.6906851345024783,0.3391568760318282,0.3060967290955072,0.5142045094791812,-0.2388857190937803,-0.5782829903442743,-0.58910490920863
0.1331785813557369,-0.20364764982683814,-0.5328495734939513,0.13606804423799201,0.09494907108169648,0.361856418852075,-0.7449028352879692,-0.776764841234491,-0.7707859624349885
0.6510731876425475,0.07912863746245424,-0.7986884935020104,0.4022911112317733,0.3719858376470311,0.5611252641453282,-0.0436080334703427,-0.4927363760589637,-0.5098850861982898
0.04668450198540386,-0.07576563411617165,-0.6532947935893509,0.13409285212005773,0.09228274650780666,0.3598147822233584,-0.7995671327769702,-0.8001806784424076,-0.7758510370516796
0.04399903140212258,-0.21065891125039538,-0.5481805214873139,0.10418210129313743,0.06182346270783512,0.3376921749831374,-0.8010756866649678,-0.8154299918185487,-0.7919779784469215
0.5605569520178295,-0.06569608404405103,-0.8183281411634281,0.3126771445917391,0.2780902714529776,0.4948628293518973,-0.22787414508039738,-0.656746579937445,-0.6254555030209223
0.653841176860243,0.1791231501564694,0.58121927088187,0.5250397011964658,0.5023727228481989,0.5623742699501924,-0.03745735668018857,-0.26478031063241814,-0.26960235317237036
0.6197498657705289,0.30686889279371465,0.44597480051720817,0.5481849027407906,0.5263626703281119,0.5956368591306704,-0.11103853253152918,-0.22828779498733232,-0.22799291413848055
0.6736813694186898,0.28453556118790213,0.658329816531873,0.5663505726942029,0.5455817589738643,0.6025762178688325,0.0075762540573343085,-0.18464627911515752,-0.18869033255925716
0.7428694595637624,0.23705361006462544,0.5167408622346847,0.5683032836984494,0.5474955569569473,0.5855307145072988,0.17773004490595268,-0.1775617949100926,-0.19011187153687392
0.48548180481609626,0.1664891751747002,0.7863636529286175,0.48604228995617116,0.4619533574535355,0.5588513298958673,-0.3573736370973296,-0.338150733716415,-0.3297458968923198
0.43667485154338626,0.23205298306755529,0.41976764473577033,0.47329354131970525,0.44813370692209276,0.5543455854844774,-0.43122641996984323,-0.370526533089087,-0.35973566304755766
0.5119388662461968,0.11038035064247387,0.6510712693104226,0.4684151181215599,0.44341499981598687,0.5357012049508081,-0.31401560723483934,-0.3682535454304139,-0.3631421582541129
0.5964404581762557,0.26371396905576217,0.8481319482299732,0.5472560085613509,0.525841732203284,0.5996129774986882,-0.15867237074691942,-0.22264166222855286,-0.2198627080615031
0.3344882321265128,0.298016549115405,0.616962675575498,0.4942818917227336,0.4702706527177274,0.5869161850452589,-0.5623562785204801,-0.33553276569080925,-0.3176249520223209
0.5966956599927409,0.3412178406113435,0.5719715763062396,0.5616082907245992,0.540515372940847,0.6139220734901554,-0.15816244929252898,-0.20156595655157605,-0.19815804065755904
0.6857006061547497,0.34110455597396894,0.6870775839178471,0.5904970680044861,0.5708336645547465,0.6253538534039729,0.03565373087610557,-0.13509925866728312,-0.13889123748420495
0.7366901451907042,0.25306761022490254,0.7106059639388365,0.5795090725613194,0.5593969195325914,0.6003961824741009,0.16167980744737398,-0.1520401679987613,-0.16272548289357114
0.6133539180819074,0.3122912574517147,1.0,0.5751173776907601,0.5550702230154143,0.6244298282861098,-0.1243249568922109,-0.1647446673700934,-0.16186301354268606
0.12750245839659846,-0.012975798029834507,0.7916873477656294,0.3723392018039704,0.34382031642971,0.4978656636465981,-0.7488736022805296,-0.5152922289333175,-0.4948065498178169
